dump_name,path,label_rootkit,label_azazel,label_orbit,label_mirai,label_syslogk,label_reptile,label_bpfbackdoor,label_reverseshell,label_skidmap,label_cryptominer,label_teamtnt,label_multistage,label_credscrape,hidden_proc_count,masqueraded_proc_count,deleted_exe_count,hooked_syscall_count,hidden_module_count,netfilter_hook_count,rwx_region_count,total_sockets,raw_socket_count,foreign_conn_count,high_port_count,unknown_lib_count
memdump_20260517_193349_clean.raw,dumps_v2/clean/memdump_20260517_193349_clean.raw,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,1,2,1,264,4,0,24,0
memdump_20260517_193107_clean.raw,dumps_v2/clean/memdump_20260517_193107_clean.raw,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,2,-1,264,4,0,24,0
memdump_20260517_193629_clean.raw,dumps_v2/clean/memdump_20260517_193629_clean.raw,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,0,0,1,2,2,264,4,0,24,0
memdump_20260517_194416_clean.raw,dumps_v2/clean/memdump_20260517_194416_clean.raw,0,0,0,0,0,0,0,0,0,0,0,0,0,27,5,0,0,1,2,5,264,4,0,24,0
memdump_20260517_193904_clean.raw,dumps_v2/clean/memdump_20260517_193904_clean.raw,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,0,0,1,2,3,264,4,0,24,0
memdump_20260517_194140_clean.raw,dumps_v2/clean/memdump_20260517_194140_clean.raw,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,0,0,1,2,4,264,4,0,24,0
memdump_20260517_194651_clean.raw,dumps_v2/clean/memdump_20260517_194651_clean.raw,0,0,0,0,0,0,0,0,0,0,0,0,0,26,6,0,0,1,2,6,264,4,0,24,0
memdump_20260517_194926_clean.raw,dumps_v2/clean/memdump_20260517_194926_clean.raw,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7,0,0,1,2,7,264,4,0,24,0
memdump_20260517_195201_clean.raw,dumps_v2/clean/memdump_20260517_195201_clean.raw,0,0,0,0,0,0,0,0,0,0,0,0,0,23,8,0,0,1,2,8,264,4,0,24,0
memdump_20260517_195440_azazel_bpfbackdoor.raw,dumps_v2/pairs/azazel_bpfbackdoor/memdump_20260517_195440_azazel_bpfbackdoor.raw,0,1,0,0,0,0,1,0,0,0,0,0,0,22,10,0,0,1,2,11,265,5,0,24,1
memdump_20260517_195503_azazel_cryptominer.raw,dumps_v2/pairs/azazel_cryptominer/memdump_20260517_195503_azazel_cryptominer.raw,0,1,0,0,0,0,0,0,0,1,0,0,0,24,9,0,0,1,2,10,264,4,0,24,1
memdump_20260517_195452_azazel_credscrape.raw,dumps_v2/pairs/azazel_credscrape/memdump_20260517_195452_azazel_credscrape.raw,0,1,0,0,0,0,0,0,0,0,0,0,1,21,9,0,0,1,2,10,276,5,0,24,1
memdump_20260517_195515_azazel_mirai.raw,dumps_v2/pairs/azazel_mirai/memdump_20260517_195515_azazel_mirai.raw,0,1,0,1,0,0,0,0,0,0,0,0,0,26,10,0,0,1,2,11,264,4,0,24,1
memdump_20260517_195526_azazel_multistage.raw,dumps_v2/pairs/azazel_multistage/memdump_20260517_195526_azazel_multistage.raw,0,1,0,0,0,0,0,0,0,0,0,1,0,24,10,0,0,1,2,11,264,4,0,24,1
memdump_20260517_195538_azazel_orbit.raw,dumps_v2/pairs/azazel_orbit/memdump_20260517_195538_azazel_orbit.raw,0,1,1,0,0,0,0,0,0,0,0,0,0,22,10,0,0,1,2,15,264,4,0,24,1
memdump_20260517_195549_azazel_reptile.raw,dumps_v2/pairs/azazel_reptile/memdump_20260517_195549_azazel_reptile.raw,0,1,0,0,0,1,0,0,0,0,0,0,0,24,11,0,0,1,2,12,265,4,0,24,1
memdump_20260517_195601_azazel_reverseshell.raw,dumps_v2/pairs/azazel_reverseshell/memdump_20260517_195601_azazel_reverseshell.raw,0,1,0,0,0,0,0,1,0,0,0,0,0,23,10,0,0,1,2,11,265,4,0,24,1
memdump_20260517_195612_azazel_rootkit.raw,dumps_v2/pairs/azazel_rootkit/memdump_20260517_195612_azazel_rootkit.raw,1,1,0,0,0,0,0,0,0,0,0,0,0,25,10,0,0,1,2,11,264,4,0,24,1
memdump_20260517_195624_azazel_skidmap.raw,dumps_v2/pairs/azazel_skidmap/memdump_20260517_195624_azazel_skidmap.raw,0,1,0,0,0,0,0,0,1,0,0,0,0,25,11,0,0,1,2,12,264,4,0,24,1
memdump_20260517_195635_azazel_syslogk.raw,dumps_v2/pairs/azazel_syslogk/memdump_20260517_195635_azazel_syslogk.raw,0,1,0,0,1,0,0,0,0,0,0,0,0,24,12,0,0,1,2,13,265,4,0,24,1
memdump_20260517_195647_azazel_teamtnt.raw,dumps_v2/pairs/azazel_teamtnt/memdump_20260517_195647_azazel_teamtnt.raw,0,1,0,0,0,0,0,0,0,0,1,0,0,25,11,0,0,1,2,11,264,4,0,24,1
memdump_20260517_195658_bpfbackdoor_credscrape.raw,dumps_v2/pairs/bpfbackdoor_credscrape/memdump_20260517_195658_bpfbackdoor_credscrape.raw,0,0,0,0,0,0,1,0,0,0,0,0,1,25,11,0,0,1,2,11,265,5,0,24,0
memdump_20260517_195710_bpfbackdoor_cryptominer.raw,dumps_v2/pairs/bpfbackdoor_cryptominer/memdump_20260517_195710_bpfbackdoor_cryptominer.raw,0,0,0,0,0,0,1,0,0,1,0,0,0,26,11,0,0,1,2,11,265,5,0,24,0
memdump_20260517_195721_bpfbackdoor_mirai.raw,dumps_v2/pairs/bpfbackdoor_mirai/memdump_20260517_195721_bpfbackdoor_mirai.raw,0,0,0,1,0,0,1,0,0,0,0,0,0,25,12,0,0,1,2,12,265,5,0,24,0
memdump_20260517_195732_bpfbackdoor_multistage.raw,dumps_v2/pairs/bpfbackdoor_multistage/memdump_20260517_195732_bpfbackdoor_multistage.raw,0,0,0,0,0,0,1,0,0,0,0,1,0,23,12,0,0,1,2,12,265,5,0,24,0
memdump_20260517_195755_bpfbackdoor_reptile.raw,dumps_v2/pairs/bpfbackdoor_reptile/memdump_20260517_195755_bpfbackdoor_reptile.raw,0,0,0,0,0,1,1,0,0,0,0,0,0,17,13,0,0,1,2,13,266,5,0,24,0
memdump_20260517_195744_bpfbackdoor_orbit.raw,dumps_v2/pairs/bpfbackdoor_orbit/memdump_20260517_195744_bpfbackdoor_orbit.raw,0,0,1,0,0,0,1,0,0,0,0,0,0,17,12,0,0,1,2,16,265,5,0,24,0
memdump_20260517_195807_bpfbackdoor_reverseshell.raw,dumps_v2/pairs/bpfbackdoor_reverseshell/memdump_20260517_195807_bpfbackdoor_reverseshell.raw,0,0,0,0,0,0,1,1,0,0,0,0,0,20,12,0,0,1,2,12,266,5,0,24,0
memdump_20260517_195819_bpfbackdoor_rootkit.raw,dumps_v2/pairs/bpfbackdoor_rootkit/memdump_20260517_195819_bpfbackdoor_rootkit.raw,1,0,0,0,0,0,1,0,0,0,0,0,0,21,12,0,0,1,2,12,265,5,0,24,0
memdump_20260517_195830_bpfbackdoor_skidmap.raw,dumps_v2/pairs/bpfbackdoor_skidmap/memdump_20260517_195830_bpfbackdoor_skidmap.raw,0,0,0,0,0,0,1,0,1,0,0,0,0,20,13,0,0,1,2,13,265,5,0,24,0
memdump_20260517_195842_bpfbackdoor_syslogk.raw,dumps_v2/pairs/bpfbackdoor_syslogk/memdump_20260517_195842_bpfbackdoor_syslogk.raw,0,0,0,0,1,0,1,0,0,0,0,0,0,19,14,0,0,1,2,14,266,5,0,24,0
memdump_20260517_195853_bpfbackdoor_teamtnt.raw,dumps_v2/pairs/bpfbackdoor_teamtnt/memdump_20260517_195853_bpfbackdoor_teamtnt.raw,0,0,0,0,0,0,1,0,0,0,1,0,0,20,13,0,0,1,2,12,265,5,0,24,0
memdump_20260517_195905_credscrape_cryptominer.raw,dumps_v2/pairs/credscrape_cryptominer/memdump_20260517_195905_credscrape_cryptominer.raw,0,0,0,0,0,0,0,0,0,1,0,0,1,23,11,0,0,1,2,11,264,4,0,24,0
memdump_20260517_195916_credscrape_mirai.raw,dumps_v2/pairs/credscrape_mirai/memdump_20260517_195916_credscrape_mirai.raw,0,0,0,1,0,0,0,0,0,0,0,0,1,22,12,0,0,1,2,12,276,5,0,24,0
memdump_20260517_195928_credscrape_multistage.raw,dumps_v2/pairs/credscrape_multistage/memdump_20260517_195928_credscrape_multistage.raw,0,0,0,0,0,0,0,0,0,0,0,1,1,20,12,0,0,1,2,12,264,4,0,24,0
memdump_20260517_195939_credscrape_orbit.raw,dumps_v2/pairs/credscrape_orbit/memdump_20260517_195939_credscrape_orbit.raw,0,0,1,0,0,0,0,0,0,0,0,0,1,21,12,0,0,1,2,16,264,4,0,24,0
memdump_20260517_200015_credscrape_rootkit.raw,dumps_v2/pairs/credscrape_rootkit/memdump_20260517_200015_credscrape_rootkit.raw,1,0,0,0,0,0,0,0,0,0,0,0,1,17,12,0,0,1,2,12,285,4,0,24,0
memdump_20260517_195951_credscrape_reptile.raw,dumps_v2/pairs/credscrape_reptile/memdump_20260517_195951_credscrape_reptile.raw,0,0,0,0,0,1,0,0,0,0,0,0,1,21,13,0,0,1,2,13,277,5,0,24,0
memdump_20260517_200002_credscrape_reverseshell.raw,dumps_v2/pairs/credscrape_reverseshell/memdump_20260517_200002_credscrape_reverseshell.raw,0,0,0,0,0,0,0,1,0,0,0,0,1,21,12,0,0,1,2,12,265,4,0,24,0
memdump_20260517_200038_credscrape_syslogk.raw,dumps_v2/pairs/credscrape_syslogk/memdump_20260517_200038_credscrape_syslogk.raw,0,0,0,0,1,0,0,0,0,0,0,0,1,24,14,0,0,1,2,14,268,4,0,24,0
