dump_name,path,label_rootkit,label_azazel,label_orbit,label_mirai,label_syslogk,label_reptile,label_bpfbackdoor,label_reverseshell,label_skidmap,label_cryptominer,label_teamtnt,label_multistage,label_credscrape,hidden_proc_count,masqueraded_proc_count,deleted_exe_count,hooked_syscall_count,hidden_module_count,netfilter_hook_count,rwx_region_count,total_sockets,raw_socket_count,foreign_conn_count,high_port_count,unknown_lib_count
memdump_20260517_195440_azazel_bpfbackdoor.raw,dumps_v2/pairs/azazel_bpfbackdoor/memdump_20260517_195440_azazel_bpfbackdoor.raw,0,1,0,0,0,0,1,0,0,0,0,0,0,22,10,0,0,1,2,11,265,5,0,24,1
memdump_20260517_195503_azazel_cryptominer.raw,dumps_v2/pairs/azazel_cryptominer/memdump_20260517_195503_azazel_cryptominer.raw,0,1,0,0,0,0,0,0,0,1,0,0,0,24,9,0,0,1,2,10,264,4,0,24,1
memdump_20260517_195452_azazel_credscrape.raw,dumps_v2/pairs/azazel_credscrape/memdump_20260517_195452_azazel_credscrape.raw,0,1,0,0,0,0,0,0,0,0,0,0,1,21,9,0,0,1,2,10,276,5,0,24,1
memdump_20260517_195515_azazel_mirai.raw,dumps_v2/pairs/azazel_mirai/memdump_20260517_195515_azazel_mirai.raw,0,1,0,1,0,0,0,0,0,0,0,0,0,26,10,0,0,1,2,11,264,4,0,24,1
memdump_20260517_195526_azazel_multistage.raw,dumps_v2/pairs/azazel_multistage/memdump_20260517_195526_azazel_multistage.raw,0,1,0,0,0,0,0,0,0,0,0,1,0,24,10,0,0,1,2,11,264,4,0,24,1
memdump_20260517_195538_azazel_orbit.raw,dumps_v2/pairs/azazel_orbit/memdump_20260517_195538_azazel_orbit.raw,0,1,1,0,0,0,0,0,0,0,0,0,0,22,10,0,0,1,2,15,264,4,0,24,1
memdump_20260517_195549_azazel_reptile.raw,dumps_v2/pairs/azazel_reptile/memdump_20260517_195549_azazel_reptile.raw,0,1,0,0,0,1,0,0,0,0,0,0,0,24,11,0,0,1,2,12,265,4,0,24,1
memdump_20260517_195601_azazel_reverseshell.raw,dumps_v2/pairs/azazel_reverseshell/memdump_20260517_195601_azazel_reverseshell.raw,0,1,0,0,0,0,0,1,0,0,0,0,0,23,10,0,0,1,2,11,265,4,0,24,1
memdump_20260517_195612_azazel_rootkit.raw,dumps_v2/pairs/azazel_rootkit/memdump_20260517_195612_azazel_rootkit.raw,1,1,0,0,0,0,0,0,0,0,0,0,0,25,10,0,0,1,2,11,264,4,0,24,1
memdump_20260517_195624_azazel_skidmap.raw,dumps_v2/pairs/azazel_skidmap/memdump_20260517_195624_azazel_skidmap.raw,0,1,0,0,0,0,0,0,1,0,0,0,0,25,11,0,0,1,2,12,264,4,0,24,1
memdump_20260517_195635_azazel_syslogk.raw,dumps_v2/pairs/azazel_syslogk/memdump_20260517_195635_azazel_syslogk.raw,0,1,0,0,1,0,0,0,0,0,0,0,0,24,12,0,0,1,2,13,265,4,0,24,1
memdump_20260517_195647_azazel_teamtnt.raw,dumps_v2/pairs/azazel_teamtnt/memdump_20260517_195647_azazel_teamtnt.raw,0,1,0,0,0,0,0,0,0,0,1,0,0,25,11,0,0,1,2,11,264,4,0,24,1
memdump_20260517_195658_bpfbackdoor_credscrape.raw,dumps_v2/pairs/bpfbackdoor_credscrape/memdump_20260517_195658_bpfbackdoor_credscrape.raw,0,0,0,0,0,0,1,0,0,0,0,0,1,25,11,0,0,1,2,11,265,5,0,24,0
memdump_20260517_195710_bpfbackdoor_cryptominer.raw,dumps_v2/pairs/bpfbackdoor_cryptominer/memdump_20260517_195710_bpfbackdoor_cryptominer.raw,0,0,0,0,0,0,1,0,0,1,0,0,0,26,11,0,0,1,2,11,265,5,0,24,0
memdump_20260517_195721_bpfbackdoor_mirai.raw,dumps_v2/pairs/bpfbackdoor_mirai/memdump_20260517_195721_bpfbackdoor_mirai.raw,0,0,0,1,0,0,1,0,0,0,0,0,0,25,12,0,0,1,2,12,265,5,0,24,0
memdump_20260517_195732_bpfbackdoor_multistage.raw,dumps_v2/pairs/bpfbackdoor_multistage/memdump_20260517_195732_bpfbackdoor_multistage.raw,0,0,0,0,0,0,1,0,0,0,0,1,0,23,12,0,0,1,2,12,265,5,0,24,0
memdump_20260517_195755_bpfbackdoor_reptile.raw,dumps_v2/pairs/bpfbackdoor_reptile/memdump_20260517_195755_bpfbackdoor_reptile.raw,0,0,0,0,0,1,1,0,0,0,0,0,0,17,13,0,0,1,2,13,266,5,0,24,0
memdump_20260517_195744_bpfbackdoor_orbit.raw,dumps_v2/pairs/bpfbackdoor_orbit/memdump_20260517_195744_bpfbackdoor_orbit.raw,0,0,1,0,0,0,1,0,0,0,0,0,0,17,12,0,0,1,2,16,265,5,0,24,0
memdump_20260517_195807_bpfbackdoor_reverseshell.raw,dumps_v2/pairs/bpfbackdoor_reverseshell/memdump_20260517_195807_bpfbackdoor_reverseshell.raw,0,0,0,0,0,0,1,1,0,0,0,0,0,20,12,0,0,1,2,12,266,5,0,24,0
memdump_20260517_195819_bpfbackdoor_rootkit.raw,dumps_v2/pairs/bpfbackdoor_rootkit/memdump_20260517_195819_bpfbackdoor_rootkit.raw,1,0,0,0,0,0,1,0,0,0,0,0,0,21,12,0,0,1,2,12,265,5,0,24,0
memdump_20260517_195830_bpfbackdoor_skidmap.raw,dumps_v2/pairs/bpfbackdoor_skidmap/memdump_20260517_195830_bpfbackdoor_skidmap.raw,0,0,0,0,0,0,1,0,1,0,0,0,0,20,13,0,0,1,2,13,265,5,0,24,0
memdump_20260517_195842_bpfbackdoor_syslogk.raw,dumps_v2/pairs/bpfbackdoor_syslogk/memdump_20260517_195842_bpfbackdoor_syslogk.raw,0,0,0,0,1,0,1,0,0,0,0,0,0,19,14,0,0,1,2,14,266,5,0,24,0
memdump_20260517_195853_bpfbackdoor_teamtnt.raw,dumps_v2/pairs/bpfbackdoor_teamtnt/memdump_20260517_195853_bpfbackdoor_teamtnt.raw,0,0,0,0,0,0,1,0,0,0,1,0,0,20,13,0,0,1,2,12,265,5,0,24,0
memdump_20260517_195905_credscrape_cryptominer.raw,dumps_v2/pairs/credscrape_cryptominer/memdump_20260517_195905_credscrape_cryptominer.raw,0,0,0,0,0,0,0,0,0,1,0,0,1,23,11,0,0,1,2,11,264,4,0,24,0
memdump_20260517_195916_credscrape_mirai.raw,dumps_v2/pairs/credscrape_mirai/memdump_20260517_195916_credscrape_mirai.raw,0,0,0,1,0,0,0,0,0,0,0,0,1,22,12,0,0,1,2,12,276,5,0,24,0
memdump_20260517_195928_credscrape_multistage.raw,dumps_v2/pairs/credscrape_multistage/memdump_20260517_195928_credscrape_multistage.raw,0,0,0,0,0,0,0,0,0,0,0,1,1,20,12,0,0,1,2,12,264,4,0,24,0
memdump_20260517_195939_credscrape_orbit.raw,dumps_v2/pairs/credscrape_orbit/memdump_20260517_195939_credscrape_orbit.raw,0,0,1,0,0,0,0,0,0,0,0,0,1,21,12,0,0,1,2,16,264,4,0,24,0
memdump_20260517_200015_credscrape_rootkit.raw,dumps_v2/pairs/credscrape_rootkit/memdump_20260517_200015_credscrape_rootkit.raw,1,0,0,0,0,0,0,0,0,0,0,0,1,17,12,0,0,1,2,12,285,4,0,24,0
memdump_20260517_195951_credscrape_reptile.raw,dumps_v2/pairs/credscrape_reptile/memdump_20260517_195951_credscrape_reptile.raw,0,0,0,0,0,1,0,0,0,0,0,0,1,21,13,0,0,1,2,13,277,5,0,24,0
memdump_20260517_200002_credscrape_reverseshell.raw,dumps_v2/pairs/credscrape_reverseshell/memdump_20260517_200002_credscrape_reverseshell.raw,0,0,0,0,0,0,0,1,0,0,0,0,1,21,12,0,0,1,2,12,265,4,0,24,0
memdump_20260517_200038_credscrape_syslogk.raw,dumps_v2/pairs/credscrape_syslogk/memdump_20260517_200038_credscrape_syslogk.raw,0,0,0,0,1,0,0,0,0,0,0,0,1,24,14,0,0,1,2,14,268,4,0,24,0
memdump_20260517_200026_credscrape_skidmap.raw,dumps_v2/pairs/credscrape_skidmap/memdump_20260517_200026_credscrape_skidmap.raw,0,0,0,0,0,0,0,0,1,0,0,0,1,22,13,0,0,1,2,13,285,4,0,24,0
memdump_20260517_200049_credscrape_teamtnt.raw,dumps_v2/pairs/credscrape_teamtnt/memdump_20260517_200049_credscrape_teamtnt.raw,0,0,0,0,0,0,0,0,0,0,1,0,1,28,13,0,0,1,2,12,264,4,0,24,0
memdump_20260517_200112_cryptominer_multistage.raw,dumps_v2/pairs/cryptominer_multistage/memdump_20260517_200112_cryptominer_multistage.raw,0,0,0,0,0,0,0,0,0,1,0,1,0,30,13,0,0,1,2,13,264,4,0,24,0
memdump_20260517_200124_cryptominer_orbit.raw,dumps_v2/pairs/cryptominer_orbit/memdump_20260517_200124_cryptominer_orbit.raw,0,0,1,0,0,0,0,0,0,1,0,0,0,21,13,0,0,1,2,17,264,4,0,24,0
memdump_20260517_200101_cryptominer_mirai.raw,dumps_v2/pairs/cryptominer_mirai/memdump_20260517_200101_cryptominer_mirai.raw,0,0,0,1,0,0,0,0,0,1,0,0,0,32,13,0,0,1,2,13,264,4,0,24,0
memdump_20260517_200135_cryptominer_reptile.raw,dumps_v2/pairs/cryptominer_reptile/memdump_20260517_200135_cryptominer_reptile.raw,0,0,0,0,0,1,0,0,0,1,0,0,0,25,14,0,0,1,2,14,265,4,0,24,0
memdump_20260517_200146_cryptominer_reverseshell.raw,dumps_v2/pairs/cryptominer_reverseshell/memdump_20260517_200146_cryptominer_reverseshell.raw,0,0,0,0,0,0,0,1,0,1,0,0,0,20,13,0,0,1,2,13,265,4,0,24,0
memdump_20260517_200157_cryptominer_rootkit.raw,dumps_v2/pairs/cryptominer_rootkit/memdump_20260517_200157_cryptominer_rootkit.raw,1,0,0,0,0,0,0,0,0,1,0,0,0,21,13,0,0,1,2,13,264,4,0,24,0
memdump_20260517_200220_cryptominer_syslogk.raw,dumps_v2/pairs/cryptominer_syslogk/memdump_20260517_200220_cryptominer_syslogk.raw,0,0,0,0,1,0,0,0,0,1,0,0,0,17,15,0,0,1,2,15,265,4,0,24,0
memdump_20260517_200209_cryptominer_skidmap.raw,dumps_v2/pairs/cryptominer_skidmap/memdump_20260517_200209_cryptominer_skidmap.raw,0,0,0,0,0,0,0,0,1,1,0,0,0,19,14,0,0,1,2,14,264,4,0,24,0
memdump_20260517_200231_cryptominer_teamtnt.raw,dumps_v2/pairs/cryptominer_teamtnt/memdump_20260517_200231_cryptominer_teamtnt.raw,0,0,0,0,0,0,0,0,0,1,1,0,0,18,14,0,0,1,2,13,264,4,0,24,0
memdump_20260517_200243_mirai_multistage.raw,dumps_v2/pairs/mirai_multistage/memdump_20260517_200243_mirai_multistage.raw,0,0,0,1,0,0,0,0,0,0,0,1,0,17,14,0,0,1,2,14,264,4,0,24,0
memdump_20260517_200306_mirai_reptile.raw,dumps_v2/pairs/mirai_reptile/memdump_20260517_200306_mirai_reptile.raw,0,0,0,1,0,1,0,0,0,0,0,0,0,15,17,0,0,1,2,17,265,4,0,24,0
memdump_20260517_200254_mirai_orbit.raw,dumps_v2/pairs/mirai_orbit/memdump_20260517_200254_mirai_orbit.raw,0,0,1,1,0,0,0,0,0,0,0,0,0,16,15,0,0,1,2,19,264,4,0,24,0
memdump_20260517_200317_mirai_reverseshell.raw,dumps_v2/pairs/mirai_reverseshell/memdump_20260517_200317_mirai_reverseshell.raw,0,0,0,1,0,0,0,1,0,0,0,0,0,14,17,0,0,1,2,17,265,4,0,24,0
memdump_20260517_200329_mirai_rootkit.raw,dumps_v2/pairs/mirai_rootkit/memdump_20260517_200329_mirai_rootkit.raw,1,0,0,1,0,0,0,0,0,0,0,0,0,17,18,0,0,1,2,18,264,4,0,24,0
memdump_20260517_200341_mirai_skidmap.raw,dumps_v2/pairs/mirai_skidmap/memdump_20260517_200341_mirai_skidmap.raw,0,0,0,1,0,0,0,0,1,0,0,0,0,18,20,0,0,1,2,20,264,4,0,24,0
memdump_20260517_200352_mirai_syslogk.raw,dumps_v2/pairs/mirai_syslogk/memdump_20260517_200352_mirai_syslogk.raw,0,0,0,1,1,0,0,0,0,0,0,0,0,19,22,0,0,1,2,22,265,4,0,24,0
memdump_20260517_200404_mirai_teamtnt.raw,dumps_v2/pairs/mirai_teamtnt/memdump_20260517_200404_mirai_teamtnt.raw,0,0,0,1,0,0,0,0,0,0,1,0,0,22,22,0,0,1,2,21,264,4,0,24,0
memdump_20260517_200416_multistage_orbit.raw,dumps_v2/pairs/multistage_orbit/memdump_20260517_200416_multistage_orbit.raw,0,0,1,0,0,0,0,0,0,0,0,1,0,18,21,0,0,1,2,26,276,5,0,24,0
memdump_20260517_200427_multistage_reptile.raw,dumps_v2/pairs/multistage_reptile/memdump_20260517_200427_multistage_reptile.raw,0,0,0,0,0,1,0,0,0,0,0,1,0,19,22,0,0,1,2,22,265,4,0,24,0
memdump_20260517_200438_multistage_reverseshell.raw,dumps_v2/pairs/multistage_reverseshell/memdump_20260517_200438_multistage_reverseshell.raw,0,0,0,0,0,0,0,1,0,0,0,1,0,19,21,0,0,1,2,21,265,4,0,24,0
memdump_20260517_200450_multistage_rootkit.raw,dumps_v2/pairs/multistage_rootkit/memdump_20260517_200450_multistage_rootkit.raw,1,0,0,0,0,0,0,0,0,0,0,1,0,19,21,0,0,1,2,21,276,5,0,24,0
memdump_20260517_200501_multistage_skidmap.raw,dumps_v2/pairs/multistage_skidmap/memdump_20260517_200501_multistage_skidmap.raw,0,0,0,0,0,0,0,0,1,0,0,1,0,21,22,0,0,1,2,22,264,4,0,24,0
memdump_20260517_200512_multistage_syslogk.raw,dumps_v2/pairs/multistage_syslogk/memdump_20260517_200512_multistage_syslogk.raw,0,0,0,0,1,0,0,0,0,0,0,1,0,21,23,0,0,1,2,23,265,4,0,24,0
memdump_20260517_200523_multistage_teamtnt.raw,dumps_v2/pairs/multistage_teamtnt/memdump_20260517_200523_multistage_teamtnt.raw,0,0,0,0,0,0,0,0,0,0,1,1,0,18,22,0,0,1,2,21,264,4,0,24,0
memdump_20260517_200535_orbit_reptile.raw,dumps_v2/pairs/orbit_reptile/memdump_20260517_200535_orbit_reptile.raw,0,0,1,0,0,1,0,0,0,0,0,0,0,18,22,0,0,1,2,27,265,4,0,24,0
memdump_20260517_200546_orbit_reverseshell.raw,dumps_v2/pairs/orbit_reverseshell/memdump_20260517_200546_orbit_reverseshell.raw,0,0,1,0,0,0,0,1,0,0,0,0,0,18,21,0,0,1,2,26,265,4,0,24,0
memdump_20260517_200558_orbit_rootkit.raw,dumps_v2/pairs/orbit_rootkit/memdump_20260517_200558_orbit_rootkit.raw,1,0,1,0,0,0,0,0,0,0,0,0,0,19,21,0,0,1,2,25,264,4,0,24,0
memdump_20260517_200610_orbit_skidmap.raw,dumps_v2/pairs/orbit_skidmap/memdump_20260517_200610_orbit_skidmap.raw,0,0,1,0,0,0,0,0,1,0,0,0,0,18,22,0,0,1,2,27,264,4,0,24,0
memdump_20260517_200621_orbit_syslogk.raw,dumps_v2/pairs/orbit_syslogk/memdump_20260517_200621_orbit_syslogk.raw,0,0,1,0,1,0,0,0,0,0,0,0,0,17,23,0,0,1,2,29,265,4,0,24,0
memdump_20260517_200633_orbit_teamtnt.raw,dumps_v2/pairs/orbit_teamtnt/memdump_20260517_200633_orbit_teamtnt.raw,0,0,1,0,0,0,0,0,0,0,1,0,0,18,22,0,0,1,2,26,264,4,0,24,0
memdump_20260517_200645_reptile_reverseshell.raw,dumps_v2/pairs/reptile_reverseshell/memdump_20260517_200645_reptile_reverseshell.raw,0,0,0,0,0,1,0,1,0,0,0,0,0,19,22,0,0,1,2,22,266,4,0,24,0
memdump_20260517_200657_reptile_rootkit.raw,dumps_v2/pairs/reptile_rootkit/memdump_20260517_200657_reptile_rootkit.raw,1,0,0,0,0,1,0,0,0,0,0,0,0,20,22,0,0,1,2,22,265,4,0,24,0
memdump_20260517_200708_reptile_skidmap.raw,dumps_v2/pairs/reptile_skidmap/memdump_20260517_200708_reptile_skidmap.raw,0,0,0,0,0,1,0,0,1,0,0,0,0,19,23,0,0,1,2,23,265,4,0,24,0
memdump_20260517_200720_reptile_syslogk.raw,dumps_v2/pairs/reptile_syslogk/memdump_20260517_200720_reptile_syslogk.raw,0,0,0,0,1,1,0,0,0,0,0,0,0,20,24,0,0,1,2,24,266,4,0,24,0
memdump_20260517_200732_reptile_teamtnt.raw,dumps_v2/pairs/reptile_teamtnt/memdump_20260517_200732_reptile_teamtnt.raw,0,0,0,0,0,1,0,0,0,0,1,0,0,24,23,0,0,1,2,22,265,4,0,24,0
memdump_20260517_200744_reverseshell_rootkit.raw,dumps_v2/pairs/reverseshell_rootkit/memdump_20260517_200744_reverseshell_rootkit.raw,1,0,0,0,0,0,0,1,0,0,0,0,0,25,21,0,0,1,2,21,265,4,0,24,0
memdump_20260517_200755_reverseshell_skidmap.raw,dumps_v2/pairs/reverseshell_skidmap/memdump_20260517_200755_reverseshell_skidmap.raw,0,0,0,0,0,0,0,1,1,0,0,0,0,25,22,0,0,1,2,22,265,4,0,24,0
memdump_20260517_200818_reverseshell_teamtnt.raw,dumps_v2/pairs/reverseshell_teamtnt/memdump_20260517_200818_reverseshell_teamtnt.raw,0,0,0,0,0,0,0,1,0,0,1,0,0,25,22,0,0,1,2,21,265,4,0,24,0
memdump_20260517_200807_reverseshell_syslogk.raw,dumps_v2/pairs/reverseshell_syslogk/memdump_20260517_200807_reverseshell_syslogk.raw,0,0,0,0,1,0,0,1,0,0,0,0,0,25,23,0,0,1,2,23,266,4,0,24,0
memdump_20260517_200830_rootkit_skidmap.raw,dumps_v2/pairs/rootkit_skidmap/memdump_20260517_200830_rootkit_skidmap.raw,1,0,0,0,0,0,0,0,1,0,0,0,0,26,22,0,0,1,2,22,264,4,0,24,0
memdump_20260517_200841_rootkit_syslogk.raw,dumps_v2/pairs/rootkit_syslogk/memdump_20260517_200841_rootkit_syslogk.raw,1,0,0,0,1,0,0,0,0,0,0,0,0,23,23,0,0,1,2,23,265,4,0,24,0
memdump_20260517_200853_rootkit_teamtnt.raw,dumps_v2/pairs/rootkit_teamtnt/memdump_20260517_200853_rootkit_teamtnt.raw,1,0,0,0,0,0,0,0,0,0,1,0,0,19,22,0,0,1,2,21,264,4,0,24,0
memdump_20260517_200905_skidmap_syslogk.raw,dumps_v2/pairs/skidmap_syslogk/memdump_20260517_200905_skidmap_syslogk.raw,0,0,0,0,1,0,0,0,1,0,0,0,0,17,24,0,0,1,2,24,265,4,0,24,0
memdump_20260517_200917_skidmap_teamtnt.raw,dumps_v2/pairs/skidmap_teamtnt/memdump_20260517_200917_skidmap_teamtnt.raw,0,0,0,0,0,0,0,0,1,0,1,0,0,17,23,0,0,1,2,22,276,5,0,24,0
memdump_20260517_200928_syslogk_teamtnt.raw,dumps_v2/pairs/syslogk_teamtnt/memdump_20260517_200928_syslogk_teamtnt.raw,0,0,0,0,1,0,0,0,0,0,1,0,0,20,24,0,0,1,2,23,265,4,0,24,0
memdump_20260517_193118_azazel.raw,dumps_v2/single/azazel/memdump_20260517_193118_azazel.raw,0,1,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,2,1,264,4,0,24,1
memdump_20260517_193400_azazel.raw,dumps_v2/single/azazel/memdump_20260517_193400_azazel.raw,0,1,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,1,2,2,264,4,0,24,1
memdump_20260517_193639_azazel.raw,dumps_v2/single/azazel/memdump_20260517_193639_azazel.raw,0,1,0,0,0,0,0,0,0,0,0,0,0,29,2,0,0,1,2,3,264,4,0,24,1
